"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros %","+/-","GP","MIN","FGA","FG%","3PTM","3PT%","FTA","FT%","PTS","REB","AST","ST","BLK","TO","PF"
"*01eo6*","James Harden","PHI","PG,SG","1","MPJ","SA<br/>Sat 6:00PM","100","100%","+99.7%","2","38.8","19.0",".579","3.0",".375","8.0","1.000","33.0","8.0","8.0","1.0","0.5","2.5","2.5"
"*01enh*","Stephen Curry","GS","PG,SG","2","BOS","","99.24","99%","+99%","2","34.4","22.0",".455","4.5",".375","9.0","1.000","33.5","5.5","5.5","2.0","0.5","3.5","1.5"
"*051oi*","Ja Morant","MEM","PG","3","BNH","@DAL<br/>Sat 8:30PM","98.79","100%","+99.8%","2","34.6","25.0",".560","4.0",".667","12.0",".792","41.5","4.0","8.5","0.5","1.5","4.5","3.0"
"*01eon*","DeMar DeRozan","CHI","SG,SF,PF","4","CTM","CLE<br/>Sat 8:00PM","94.57","100%","+99.6%","2","36.5","22.5",".556","1.0",".400","11.0",".773","34.5","6.0","7.5","1.5","0.5","2.0","2.0"
"*03xmv*","Jayson Tatum","BOS","SF,PF","5","DOBB","@ORL<br/>Sat 7:00PM","94.2","100%","+99.8%","2","37.7","21.0",".548","2.0",".286","8.0",".875","32.0","8.5","4.0","1.0","1.5","2.5","1.0"
"*027oo*","Jonas Valanciunas","NO","C","6","HUGG","","92.22","100%","+99.6%","2","28.0","12.0",".583","1.0",".500","8.0",".938","22.5","15.0","3.0","0.5","1.0","1.0","1.0"
"*0011e*","LeBron James","LAL","PG,SF,PF","7","BNH","","91.86","99%","+99%","2","35.9","21.5",".442","2.5",".278","5.0",".800","25.5","12.5","7.0","0.5","1.0","3.5","2.5"
"*03nwl*","Terry Rozier","CHA","PG,SG","8","CTM","","90.12","100%","+99.5%","2","32.9","21.5",".395","3.0",".400","4.0",".875","23.5","7.0","8.5","0.5","1.5","3.0","1.0"
"*02ym0*","Andrew Wiggins","GS","SG,SF,PF","9","REIM","","90","97%","+97.1%","2","33.4","15.5",".516","3.0",".400","3.5",".714","21.5","7.0","3.5","2.0","1.0","0.5","3.5"
"*042nq*","Dejounte Murray","ATL","PG,SG","10","CTM","","89.3","100%","+99.7%","2","38.9","17.5",".457","1.5",".300","2.5","1.000","20.0","7.0","10.0","4.5","0.5","3.5","1.0"
"*001aw*","Kevin Durant","BKN","SF,PF","11","BAM","","89.27","99%","+99.2%","2","33.6","19.5",".487","2.5",".333","9.5",".842","29.5","4.0","4.0","0.5","3.0","4.5","3.0"
"*042nm*","Pascal Siakam","TOR","PF,C","12","CTM","@MIA<br/>Sat 8:00PM","89.09","99%","+99.4%","2","35.4","20.5",".585","1.5",".333","8.5",".529","30.0","11.5","6.0","1.5","0.0","3.5","5.0"
"*04848*","Fred VanVleet","TOR","PG,SG","13","MPJ","@MIA<br/>Sat 8:00PM","88.98","100%","+99.8%","2","38.3","10.0",".550","3.5",".583","2.0","1.000","16.5","4.5","7.0","4.0","0.5","0.5","3.0"
"*04ewr*","Kyle Kuzma","WAS","SF,PF","14","BOS","","88.96","99%","+99.5%","2","34.2","17.5",".457","3.5",".389","6.0",".750","24.0","9.5","2.0","0.0","1.0","1.5","2.5"
"*027p0*","Nikola Vucevic","CHI","C","15","HUGG","CLE<br/>Sat 8:00PM","88.26","100%","+99.6%","2","31.6","13.5",".370","1.5",".250","8.0","1.000","19.5","12.5","1.5","0.0","1.5","1.0","0.5"
"*02nf6*","Damian Lillard","POR","PG","16","HUGG","","87.92","99%","+98.9%","2","39.7","21.5",".395","3.0",".300","10.5","1.000","30.5","5.5","5.5","1.0","0.5","4.0","1.0"
"*03nwm*","Devin Booker","PHO","SG","17","DOBB","","87.71","100%","+99.5%","2","42.3","21.5",".488","2.0",".500","8.0",".938","30.5","4.5","6.0","0.5","0.5","2.0","2.0"
"*03e75*","Nikola Jokic","DEN","C","18","REIM","OKC<br/>Sat 9:00PM","86.65","100%","+99.6%","2","33.9","15.0",".633","1.0",".400","6.5","1.000","26.5","8.0","8.0","1.5","0.0","4.0","4.0"
"*042n1*","Brandon Ingram","NO","SF,PF","19","REIM","","86.26","99%","+99.4%","2","34.2","16.5",".545","1.5",".600","10.0",".850","28.0","8.0","6.0","1.5","0.5","4.5","1.5"
"*04ewk*","John Collins","ATL","PF,C","20","MPJ","","86.19","99%","+99.5%","2","34.9","13.0",".692","2.5",".833","3.0","1.000","23.5","10.5","0.5","2.0","0.5","2.0","3.5"
"*06210*","Paolo Banchero","ORL","PF","21","HUGG","BOS<br/>Sat 7:00PM","85.1","99%","+99.5%","2","34.5","18.0",".472","0.5",".167","7.5",".800","23.5","10.5","3.5","0.5","2.5","4.0","3.0"
"*051ot*","Tyler Herro","MIA","PG,SG","22","JR","TOR<br/>Sat 8:00PM","84.92","100%","+99.8%","2","35.3","18.0",".500","3.0",".429","3.5",".857","24.0","6.0","2.0","1.0","1.0","1.0","2.5"
"*02nf1*","Anthony Davis","LAL","PF,C","23","JR","","84.08","100%","+99.6%","2","33.8","19.0",".500","1.0",".286","8.0",".750","26.0","7.0","0.0","3.0","0.5","2.5","2.0"
"*03lls*","Jaylen Brown","BOS","SG,SF","24","BOS","@ORL<br/>Sat 7:00PM","84.05","100%","+99.6%","2","36.3","21.0",".619","3.0",".400","2.5","1.000","31.5","3.5","2.5","2.0","1.5","3.5","3.0"
